,Participant,Block_num,Target_Name,Total_Time,Orientation_Time,Navigation_Time,Distance,Speed,Mean_Dwell,Teleportations
7,BNC44,2,High School,94.4560535,0.4860945,93.969959,485.9312691,5.171134203,1.125589486,84
0,BNC44,3,Automobile shop,17.0785867,4.8907497,12.187837,61.156849,5.017859117,1.02145038,16
1,BNC44,3,Police station ,24.5550744,2.6321044,21.92297,142.102674,6.481907971,1.13278859,22
2,BNC44,3,Fire Station,18.1940088,6.4586358,11.735373,136.9361378,11.66866514,0.683358,18
3,BNC44,3,Bank,78.7973033,0.1112822,78.6860211,434.952582,5.527698261,0.922274807,85
4,BNC44,3,Pawn Shop,35.3108944,3.6110514,31.699843,138.3304718,4.363758893,1.142987247,31
5,BNC44,3,Pizzeria,119.7069112,2.0356332,117.671278,511.5921788,4.347638502,1.034559055,114
6,BNC44,3,Quattroki Restaurant,19.9434183,3.4723283,16.47109,191.3054089,11.61461742,0.858257241,23
7,BNC44,3,High School,55.7008965,6.9171535,48.783743,255.9425366,5.246471896,1.262333402,42
0,BNC45,1,Automobile shop,28.5822767,12.0819467,16.50033,61.94237464,3.754008232,2.832538522,10
1,BNC45,1,Police station ,40.3322479,4.9654909,35.366757,189.819234,5.367165387,1.716301614,22
2,BNC45,1,Fire Station,26.1799434,4.8540924,21.325851,145.8693704,6.840025772,1.569919027,16
3,BNC45,1,Bank,226.6832848,4.8194308,221.863854,1142.830878,5.151045819,1.380483661,164
4,BNC45,1,Pawn Shop,67.7695911,7.2904481,60.479143,339.7333497,5.61736382,1.28327921,49
5,BNC45,1,Pizzeria,17.4789025,3.1320395,14.346863,118.6503282,8.270123455,1.284186269,14
6,BNC45,1,Quattroki Restaurant,285.0081002,6.7221812,278.285919,1476.29544,5.304959179,1.262591082,224
7,BNC45,1,High School,21.5480349,3.0136349,18.5344,238.6864797,12.87802571,0.835541773,23
0,BNC45,2,Automobile shop,10.2925567,1.2711967,9.02136,66.06902009,7.323620838,0.86542657,11
1,BNC45,2,Police station ,18.6178045,3.6320805,14.985724,127.3625299,8.498924036,1.0634365,15
2,BNC45,2,Fire Station,14.6521018,4.1525638,10.499538,136.4818722,12.99884549,0.800695,14
3,BNC45,2,Bank,154.622313,3.513776,151.108537,747.3709575,4.94592147,1.351369,113
4,BNC45,2,Pawn Shop,88.1026002,3.7568862,84.345714,460.8361758,5.463658483,1.204722864,73
5,BNC45,2,Pizzeria,21.0623666,3.0068576,18.055509,141.6261135,7.84392805,0.996133111,19
6,BNC45,2,Quattroki Restaurant,22.2626387,2.5554947,19.707144,183.1239751,9.292263509,1.014625142,20
7,BNC45,2,High School,79.1313771,2.7303631,76.401014,583.6061975,7.638723191,1.045535974,75
0,BNC45,3,Automobile shop,12.3466367,3.4436737,8.902963,68.74237482,7.721291757,1.12567397,11
1,BNC45,3,Police station ,16.5479399,3.5207249,13.027215,117.4983304,9.019451231,1.177142182,12
2,BNC45,3,Fire Station,13.1398791,2.6389581,10.500921,140.676872,13.39662226,0.893304221,15
3,BNC45,3,Bank,87.59489,4.055244,83.539646,485.8222944,5.815469871,1.170459301,74
4,BNC45,3,Pawn Shop,105.6237089,5.5484809,100.075228,608.9353478,6.084776023,1.176242556,89
5,BNC45,3,Pizzeria,12.7567939,3.6876749,9.069119,126.5327138,13.9520403,0.640839143,15
6,BNC45,3,Quattroki Restaurant,17.7427331,1.9643121,15.778421,188.3764258,11.93886421,0.904775561,19
7,BNC45,3,High School,20.2209564,2.9375674,17.283389,237.8788002,13.76343495,0.778777136,23
0,BNC46,1,Automobile shop,54.0551867,40.8610067,13.19418,72.01195884,5.457857847,4.439527225,13
1,BNC46,1,Police station ,308.5488497,4.2501607,304.298689,1487.088067,4.886935504,1.380675302,222
2,BNC46,1,Fire Station,56.3459521,12.6805221,43.66543,217.780685,4.98748518,1.853176504,29
3,BNC46,1,Bank,18.770901,6.264116,12.506785,142.4000482,11.38582363,1.868896556,10
4,BNC46,1,Pawn Shop,168.0874371,4.4234601,163.663977,884.8343652,5.406408798,1.274160047,131
5,BNC46,1,Pizzeria,53.1449123,4.6110893,48.533823,256.2123402,5.279047154,1.304769514,38
6,BNC46,1,Quattroki Restaurant,354.3001692,6.0344262,348.265743,2080.788571,5.974715034,1.178248752,299
7,BNC46,1,High School,364.7357488,7.3746898,357.361059,1853.236286,5.185893201,1.307200307,277
0,BNC46,2,Automobile shop,19.9929467,5.1460187,14.846928,64.88059353,4.369967546,1.156897313,16
1,BNC46,2,Police station ,140.8722072,7.6110092,133.261198,652.2622452,4.894614899,1.082784835,127
2,BNC46,2,Fire Station,18.506622,4.368097,14.138525,147.8788584,10.45928471,0.876763438,17
3,BNC46,2,Bank,28.6451193,5.6524073,22.992712,164.8083791,7.167852976,1.14270255,21
4,BNC46,2,Pawn Shop,19.0895629,2.5617249,16.527838,104.9234865,6.348288654,1.090667593,16
5,BNC46,2,Pizzeria,23.076183,3.298684,19.777499,125.569804,6.349124529,0.891958455,23
6,BNC46,2,Quattroki Restaurant,36.2147271,3.5477791,32.666948,227.1008332,6.952006451,0.938614922,38
7,BNC46,2,High School,35.3116129,3.1252279,32.186385,319.1076408,9.914367232,0.879877869,40
0,BNC46,3,Automobile shop,18.4654567,3.0077417,15.457715,59.43034617,3.844704484,0.850709058,13
1,BNC46,3,Police station ,64.3658677,0.1804301,64.1854376,265.7178987,4.139847115,1.29810648,47
2,BNC46,3,Fire Station,21.3198138,9.7506578,11.569156,146.7100734,12.68113883,0.673592882,18
3,BNC46,3,Bank,22.3745252,3.1876442,19.186881,135.1713889,7.044990214,1.121746824,18
4,BNC46,3,Pawn Shop,207.3359959,3.8473029,203.488693,899.8926351,4.422322547,1.017430118,203
5,BNC46,3,Pizzeria,23.2841795,2.6528565,20.631323,131.8664739,6.391566545,0.890078609,24
6,BNC46,3,Quattroki Restaurant,776.0916546,3.0484776,773.043177,4434.785448,5.736788811,0.97823019,787
7,BNC46,3,High School,40.6033617,5.3753397,35.228022,319.0253552,9.056011012,1.028358214,37
0,BNC47,1,Automobile shop,336.2721667,65.6391167,270.63305,1030.233594,3.806754549,2.24518434,150
1,BNC47,1,Police station ,244.7529765,13.1873565,231.56562,1201.630969,5.18915964,1.362259241,177
2,BNC47,1,Fire Station,87.2422848,15.7012448,71.54104,534.5033022,7.471282249,1.148558096,72
3,BNC47,1,Bank,215.5999963,7.5136523,208.086344,1169.433393,5.619943001,1.241716705,173
4,BNC47,1,Pawn Shop,58.5473176,8.7292086,49.818109,345.0294005,6.925782761,1.147071176,50
5,BNC47,1,Pizzeria,67.3667528,9.7983698,57.568383,251.0209707,4.360396412,1.945024082,35
6,BNC47,1,Quattroki Restaurant,748.1810609,5.6108579,742.570203,4317.65695,5.814476439,1.048840327,708
7,BNC47,1,High School,46.8322714,5.0278974,41.804374,606.7536153,14.51411796,0.558878761,83
0,BNC47,2,Automobile shop,117.1091667,33.1882767,83.92089,594.0268286,7.078414309,1.214941228,96
1,BNC47,2,Police station ,55.8252697,6.5566327,49.268637,320.317474,6.501447849,1.118785696,48
2,BNC47,2,Fire Station,21.118458,5.119099,15.999359,170.4268988,10.65210793,0.90711881,22
